,lh_bankssts,lh_caudalanteriorcingulate,lh_caudalmiddlefrontal,lh_cuneus,lh_entorhinal,lh_fusiform,lh_inferiorparietal,lh_inferiortemporal,lh_isthmuscingulate,lh_lateraloccipital,lh_lateralorbitofrontal,lh_lingual,lh_medialorbitofrontal,lh_middletemporal,lh_parahippocampal,lh_paracentral,lh_parsopercularis,lh_parsorbitalis,lh_parstriangularis,lh_pericalcarine,lh_postcentral,lh_posteriorcingulate,lh_precentral,lh_precuneus,lh_rostralanteriorcingulate,lh_rostralmiddlefrontal,lh_superiorfrontal,lh_superiorparietal,lh_superiortemporal,lh_supramarginal,lh_frontalpole,lh_temporalpole,lh_transversetemporal,lh_insula,rh_bankssts,rh_caudalanteriorcingulate,rh_caudalmiddlefrontal,rh_cuneus,rh_entorhinal,rh_fusiform,rh_inferiorparietal,rh_inferiortemporal,rh_isthmuscingulate,rh_lateraloccipital,rh_lateralorbitofrontal,rh_lingual,rh_medialorbitofrontal,rh_middletemporal,rh_parahippocampal,rh_paracentral,rh_parsopercularis,rh_parsorbitalis,rh_parstriangularis,rh_pericalcarine,rh_postcentral,rh_posteriorcingulate,rh_precentral,rh_precuneus,rh_rostralanteriorcingulate,rh_rostralmiddlefrontal,rh_superiorfrontal,rh_superiorparietal,rh_superiortemporal,rh_supramarginal,rh_frontalpole,rh_temporalpole,rh_transversetemporal,rh_insula
lh_bankssts,0.0,0.10915767241598591,0.1971648808608486,0.09421210863732592,0.14207113607626212,0.22205277920504116,0.2180286321881161,0.3344787769197703,0.17269989164370853,0.21795845268579617,0.2189801603475247,0.1593399284381694,0.19923178684707848,0.23887617821937232,0.11311840691277522,0.14462191775396666,0.20226958749318497,0.1593713343799408,0.15969432415999882,0.10871214148965398,0.15000533742993422,0.12719356952062583,0.1909001905092514,0.17201995467435097,0.12990682550923002,0.28700155306043773,0.20825799225390051,0.15906523888125038,0.16860835036199393,0.2700612790086611,0.09742128696663002,0.08689501011318407,0.11022363755754465,0.10185065496743965,0.12569776321759465,0.10477923667738989,0.2020674154100277,0.09771013091225814,0.12879334511962762,0.20805365823862926,0.25250307289773183,0.23270858155051288,0.15163221674944957,0.19304332452392184,0.22229507174974084,0.1545686358677651,0.19694586455879784,0.22536684552435443,0.12470009472168557,0.14868935046671672,0.18265067032745266,0.17799280698155223,0.19321672517916358,0.10777934625351683,0.14683043865892362,0.13737494592872795,0.18814972917452102,0.19338898167385357,0.14444898779139043,0.2958720347989193,0.22255864713372986,0.15120755463393956,0.14900868316636823,0.1880925418312529,0.08678053174674089,0.07341332295529962,0.12865372371335418,0.1004560913934703
lh_caudalanteriorcingulate,0.10915767241598591,0.0,0.09548187033327504,0.0852648586506837,0.07252575995524708,0.11665069971621893,0.10136919584837956,0.09915454002685639,0.14340409412641553,0.10257812853753182,0.11327674735319546,0.11441853585369956,0.09680632735891047,0.09394751877892048,0.08147603215776301,0.09266033532681138,0.10077181051188283,0.0740341364461612,0.08446451036174697,0.10705729904086857,0.10180126971193237,0.17723356692383224,0.10047371361475271,0.10268689191041981,0.18273140750391587,0.10481426280350559,0.09961706279351748,0.09589145804614421,0.08617236954577552,0.10205692919575643,0.06224863210407743,0.05914420814435496,0.0888012550861144,0.10873023909117883,0.09402027295761571,0.2061616978544624,0.0990261008269174,0.0753061235385116,0.07139406295990466,0.11295063968089798,0.11224000798710619,0.09909400800536056,0.14333258329857007,0.10326979777587614,0.1222235117364245,0.11406113863567809,0.10141921850211703,0.09005393023861405,0.0946016010537877,0.10265233390180972,0.09488559569448603,0.08395028997760513,0.08977063185377811,0.09526416721027242,0.09559598772472608,0.21961147605918574,0.09368677840390421,0.11466453092326159,0.1526859483472145,0.11746727563403127,0.09995942972089837,0.09322932828079762,0.08669188385360102,0.09358077726979679,0.05769829745779245,0.05250901419850665,0.10822659767405314,0.1097948345530301
lh_caudalmiddlefrontal,0.1971648808608486,0.09548187033327504,0.0,0.08875581243487299,0.11394814399514899,0.19656316863369241,0.2731692347395504,0.19165421836126137,0.14181951429189726,0.1837888804412563,0.18904056192736313,0.14336951791427038,0.16878370238277438,0.2265445398507773,0.14725083190971128,0.1962025049423225,0.24953549192258787,0.12848240260358537,0.22623330608774606,0.10291802085245812,0.17308446169288627,0.13198233866253062,0.2993221843395579,0.23078349427179087,0.10520553645777612,0.29926536764428524,0.2637507919724837,0.2059892204639999,0.2086110273769603,0.2707776432192523,0.08518538397240437,0.07206840390920959,0.14707836432137283,0.12186460310386361,0.17524709148324394,0.08629116442133841,0.27408685799821486,0.09210680506135609,0.11773417436246886,0.19682668583089796,0.3102719356394673,0.17270672132034737,0.1364640006070768,0.18303730519168862,0.19162028678976858,0.13482938333012398,0.13845242728776508,0.21391951760540812,0.16863137842364848,0.1990310328322413,0.20625554386332884,0.14513799015736875,0.23067572626947136,0.1068811966896652,0.17315957091937317,0.12613910498207745,0.28100027682616024,0.26536783396716174,0.11179532720122724,0.27656584198566464,0.2572529419312607,0.18855418250534142,0.17164901963950582,0.22456676065754555,0.07920025519417205,0.06345405999314332,0.14938885728696122,0.11784974468744885
lh_cuneus,0.09421210863732592,0.0852648586506837,0.08875581243487299,0.0,0.060245547141945015,0.08287714678103031,0.11838291186669912,0.0923580591652701,0.12298415258676434,0.18611401643958658,0.11059574534236441,0.20116623668302328,0.13486149780838907,0.08169963264355982,0.08688656250073852,0.11778702804248173,0.095395189513124,0.10739232499324866,0.09219647822908072,0.15129831952970463,0.1741924553316338,0.09933321938848735,0.10034835963526093,0.1342545478744929,0.08562050639583281,0.13416174009097803,0.09503236110739527,0.16127719454335981,0.07603184142588873,0.10345512745552321,0.09339004848575652,0.05597426730334036,0.08165660431708134,0.0882901703771995,0.08426248478486005,0.08521937708406489,0.08913458710933807,0.26124517640860445,0.06410192640955563,0.08835643685986473,0.12401416996911453,0.08843329587182791,0.12713818887359057,0.20518421609726617,0.11754607159691656,0.21312994694169043,0.14084835675849358,0.08916424483847597,0.09131621147832908,0.10387791119942123,0.08886109849970637,0.07992155262319696,0.08756089107549463,0.1633376082041649,0.1619391051579666,0.09695377538846264,0.08543170410778986,0.11649936976188552,0.07961342465564515,0.13022951246825007,0.0857261680307168,0.147027798665521,0.07373304833383784,0.09988113325543554,0.08616193852286655,0.052894879854537856,0.09131743161648043,0.07276089258691237
lh_entorhinal,0.14207113607626212,0.07252575995524708,0.11394814399514899,0.060245547141945015,0.0,0.13631835218420255,0.11035389566400224,0.18940303652223042,0.10464814165901654,0.10545796420785793,0.13614039723532262,0.09468850357943495,0.11521450154072573,0.1590580655969642,0.1148734644157548,0.10175878009160182,0.13340407960809939,0.13303685727247172,0.10296518469790426,0.06523533861061999,0.09194349668486493,0.07910340650867576,0.11655252663937504,0.09500397035007825,0.0925775222709468,0.12345470856196973,0.13548180234942755,0.08947358068906511,0.15633762425768521,0.1233976841174384,0.08615718007858032,0.13338042328422992,0.07958482446507976,0.09286355841057638,0.09055051444420262,0.07251064491792883,0.12548753289891743,0.06459080769697279,0.23263685850356156,0.13093454621676995,0.1209900377259654,0.17665742331561737,0.09838261154208541,0.1023599276125117,0.1316445127019875,0.08575771306576153,0.10772194216835504,0.17788317478345886,0.12235572963015863,0.11427746025211931,0.11979312718719523,0.13460917639995754,0.12396968925361361,0.06677740777705353,0.0988838624427489,0.07955774116504036,0.13081171963244514,0.09667426381268594,0.1087699887791308,0.11779220430485857,0.1394345154909915,0.0909030263415811,0.15789601486133814,0.11597569962392683,0.08841170347898883,0.10918930117192169,0.08530411075730057,0.09076979936701508
lh_fusiform,0.22205277920504116,0.11665069971621893,0.19656316863369241,0.08287714678103031,0.13631835218420255,0.0,0.18842880530831202,0.2504488741931739,0.19687440566275002,0.16291180630060384,0.24016719620410631,0.15694281900598214,0.18759759446040392,0.24766111296286253,0.14740315145113864,0.1523826530621167,0.17981600377459506,0.1228156358479871,0.1321453393338658,0.09584184069722118,0.1383785290825641,0.1665747916336291,0.19343331865823202,0.17463193513157652,0.14795149287111223,0.20290297395264353,0.22279616786878823,0.1396876733980333,0.21371910542441744,0.23108685365882933,0.07905467659081249,0.08586388426892416,0.13553855267688317,0.14364096324537015,0.15406131391368458,0.11617574155802914,0.2223849814496027,0.08377133824908654,0.141170949875701,0.38785623178835243,0.22414878597164856,0.25401560129194867,0.16063892618845257,0.15237478970119797,0.23173693939651174,0.14964546288751104,0.15482134623693714,0.21119288917552248,0.1769223916384524,0.18463537702462807,0.19016414538330215,0.15127062439083505,0.15984203226809987,0.0947667099570052,0.13251321781823686,0.1695943279346119,0.20609988250286507,0.19779797148703626,0.1805018203345316,0.22213125562486422,0.22968823518499798,0.12499222471905945,0.1726957370962291,0.18848480588832525,0.07671499856589242,0.07467093250290922,0.1491211191082703,0.1456069066427419
lh_inferiorparietal,0.2180286321881161,0.10136919584837956,0.2731692347395504,0.11838291186669912,0.11035389566400224,0.18842880530831202,0.0,0.2056476113397468,0.15696019991018595,0.229907953827757,0.22849516733027797,0.18307078186644887,0.20169563566273274,0.2522773867083459,0.13072315010656443,0.18864227000281722,0.28024399314517734,0.15074770392975412,0.24516176022342273,0.12881538009139482,0.21931140830738366,0.14273338134707228,0.2596553049884951,0.27056604504244114,0.11373205278111373,0.298259938607624,0.23642348527944979,0.32032672632367626,0.21752423938384327,0.3846235954960731,0.10800057575472229,0.07743395879159672,0.16213682954109437,0.15098014381613123,0.2294841641845623,0.09586849449329969,0.30091486585064536,0.12257683123103895,0.11441165560578945,0.1867204705739201,0.3941346129056323,0.18440931412742564,0.15880458366822403,0.23801033706326197,0.21107527222712633,0.18106561056317153,0.16864436424113635,0.23298757330929434,0.15322286321705614,0.19403455443824966,0.21911156289893588,0.14536228570741663,0.24952257770430508,0.1207175394753393,0.21591334884435356,0.13691846451275486,0.24635736687081028,0.3009341134971622,0.119478624236483,0.2805459531395142,0.23292286299534254,0.2858558555809038,0.18163960741137278,0.2767107646541536,0.09668172974771166,0.06744360669009891,0.17115467534427833,0.14080995611010017
lh_inferiortemporal,0.3344787769197703,0.09915454002685639,0.19165421836126137,0.0923580591652701,0.18940303652223042,0.2504488741931739,0.2056476113397468,0.0,0.17755148060243306,0.20821243144375223,0.24392370666363863,0.1681575607220987,0.22646542090565502,0.3028557964155706,0.14716297054913705,0.14928608385774464,0.21063141683343226,0.16843065799416537,0.15157256575157058,0.0969346844786614,0.14582208144841516,0.1251999038775717,0.18518801622575246,0.1643699731091888,0.13433014439121546,0.2562583129567028,0.22718323795925868,0.14758575106005023,0.21480906276854286,0.253767789383248,0.09846736541169553,0.11400143601285836,0.10597963894104705,0.10965797878694547,0.12412552979833422,0.09877672140819091,0.20079314429086997,0.09842820132561451,0.17792412830641716,0.2501942718777389,0.25045085929094973,0.32800976122798103,0.1517913897265636,0.18173955188286317,0.2488255859895977,0.1659801856544153,0.20462174418919632,0.27925182198462833,0.16229526773158717,0.16494149431792224,0.1827615357824215,0.19127840280562022,0.1852541006684839,0.09986578973067216,0.1495951199949102,0.127460198751735,0.18859504856242915,0.17406104430886718,0.16010707767193144,0.25293499610364684,0.24367101361229074,0.13512483952248128,0.181608079845266,0.1867600270348652,0.09185646382437256,0.10028596919394256,0.11878949940453577,0.1065096348037179
lh_isthmuscingulate,0.17269989164370853,0.14340409412641553,0.14181951429189726,0.12298415258676434,0.10464814165901654,0.19687440566275002,0.15696019991018595,0.17755148060243306,0.0,0.19422399470291685,0.1894911395451215,0.20759562904623222,0.19506853685746806,0.162139398521559,0.13505379349511087,0.16025820685688233,0.1577588198915446,0.13125241590588818,0.1294797458659348,0.12990874798085233,0.15546174195453244,0.23199654233930014,0.15616405222692184,0.17104242351784457,0.21234014190075315,0.18384582875312913,0.17040809321943678,0.14825689700689088,0.1375919896915261,0.16802786602984057,0.08469153094112278,0.07862562224217029,0.11935460840726918,0.14254865543790696,0.133458530918685,0.12886857341119481,0.1575780383683335,0.12808598369538038,0.10451621806174823,0.19643780002115235,0.1854524108269246,0.1627972247292424,0.39812355022740914,0.1716716219199111,0.21994620945253462,0.20580502194269717,0.22152445161902912,0.15358538599790406,0.15819801543397471,0.17002834367698727,0.14960425241639108,0.14079192308009783,0.13951928616607798,0.12426936141232542,0.14228618553109024,0.2220790226541352,0.1477754797237061,0.16317240280137998,0.18913316025141536,0.18621771932325049,0.16171262040963555,0.13797513670056963,0.13074561327884157,0.15208436208361759,0.07895488715690978,0.0673686991770475,0.13536450822437662,0.1242991211910003
lh_lateraloccipital,0.21795845268579617,0.10257812853753182,0.1837888804412563,0.18611401643958658,0.10545796420785793,0.16291180630060384,0.229907953827757,0.20821243144375223,0.19422399470291685,0.0,0.20629043264974375,0.2717613099730799,0.24764813530702937,0.1837810040400243,0.12902213809961618,0.2139902244316578,0.18857149431444056,0.20588615122417436,0.18407997681972027,0.13397662448681172,0.26343041736128764,0.1303991470693261,0.1965911629317268,0.23127240499445714,0.12236939934045525,0.3073297875461277,0.22838754358821267,0.26255751243549014,0.13898056643565793,0.23265971243149894,0.12681523125925398,0.07711640979028805,0.10441127486845858,0.09687408623958431,0.11497235082677222,0.10012301879777041,0.1771947689538428,0.21154436772458438,0.11582640841390186,0.16271757939921172,0.27530677438654233,0.1699847788762243,0.1939901742236916,0.39183310017574147,0.2178913498706325,0.2593301164350957,0.23676701000958358,0.19455094096503142,0.1443652119535852,0.1992666843167393,0.1707386893882105,0.17326636364844125,0.16969714976640105,0.14822524091014658,0.2401290397751005,0.12900611695155362,0.17254734789503856,0.2162375723212308,0.11651051142300128,0.3475169008477873,0.20776408950652403,0.23341473015885705,0.1291562547905609,0.18524088385050608,0.11205460347240039,0.06773220662676399,0.11020974726492383,0.08763469773962258
lh_lateralorbitofrontal,0.2189801603475247,0.11327674735319546,0.18904056192736313,0.11059574534236441,0.13614039723532262,0.24016719620410631,0.22849516733027797,0.24392370666363863,0.1894911395451215,0.20629043264974375,0.0,0.18997269222826552,0.2480781260412663,0.22385153765899213,0.1540324709101213,0.165732630385669,0.23592683224574845,0.16797235700659757,0.1718667628865235,0.11691008220810165,0.1810232396143382,0.14352345319572457,0.23071729526248516,0.1987430293840803,0.1359725601965344,0.23731461409799975,0.25456147334429235,0.18003742203469275,0.2207194966418495,0.26109334753040286,0.1062958602172872,0.08866950078114437,0.12760288294908226,0.16647873213599879,0.1915351636726867,0.10496133292811957,0.23723814236166635,0.11165895450724593,0.14090600944963608,0.2349143318542284,0.26195119987757565,0.2517672554802764,0.17354702923233534,0.19586205265344792,0.3203691778170588,0.17931372279109684,0.1965173023362894,0.27081435387057956,0.17826128020391768,0.1869715568840622,0.24422554412863348,0.17200257494779458,0.2118843925531505,0.11248983634330005,0.18345391430329352,0.14127087175393943,0.2359176495992519,0.20262743965419797,0.16444679231668927,0.23134524463376333,0.26228762889236357,0.1612470220849014,0.21393127801943732,0.2439369181687774,0.09647173276557736,0.07830292854478971,0.151808254372837,0.15973798883918217
