,lh_bankssts,lh_caudalanteriorcingulate,lh_caudalmiddlefrontal,lh_cuneus,lh_entorhinal,lh_fusiform,lh_inferiorparietal,lh_inferiortemporal,lh_isthmuscingulate,lh_lateraloccipital,lh_lateralorbitofrontal,lh_lingual,lh_medialorbitofrontal,lh_middletemporal,lh_parahippocampal,lh_paracentral,lh_parsopercularis,lh_parsorbitalis,lh_parstriangularis,lh_pericalcarine,lh_postcentral,lh_posteriorcingulate,lh_precentral,lh_precuneus,lh_rostralanteriorcingulate,lh_rostralmiddlefrontal,lh_superiorfrontal,lh_superiorparietal,lh_superiortemporal,lh_supramarginal,lh_frontalpole,lh_temporalpole,lh_transversetemporal,lh_insula,rh_bankssts,rh_caudalanteriorcingulate,rh_caudalmiddlefrontal,rh_cuneus,rh_entorhinal,rh_fusiform,rh_inferiorparietal,rh_inferiortemporal,rh_isthmuscingulate,rh_lateraloccipital,rh_lateralorbitofrontal,rh_lingual,rh_medialorbitofrontal,rh_middletemporal,rh_parahippocampal,rh_paracentral,rh_parsopercularis,rh_parsorbitalis,rh_parstriangularis,rh_pericalcarine,rh_postcentral,rh_posteriorcingulate,rh_precentral,rh_precuneus,rh_rostralanteriorcingulate,rh_rostralmiddlefrontal,rh_superiorfrontal,rh_superiorparietal,rh_superiortemporal,rh_supramarginal,rh_frontalpole,rh_temporalpole,rh_transversetemporal,rh_insula
lh_bankssts,0.0,0.13098574961124101,0.22624062450068308,0.11717917026043755,0.10892256601449704,0.20689321082795503,0.28088845788015004,0.20872105716228223,0.14325423507088186,0.22094773171297666,0.2203818464144106,0.15320009419411934,0.1748186378324614,0.23711568601041225,0.13267953217119016,0.1866364019902958,0.24875273183925767,0.17095048213427527,0.22561182805452923,0.0970259066076047,0.16013317817530098,0.17162637560159352,0.23791582190690336,0.23713583272698935,0.1416234112337225,0.2876599341352314,0.27650375530968163,0.24167598138454613,0.22837952055858116,0.29890002775740127,0.08993664577869745,0.08241387324966926,0.1307783521352144,0.11942232396565303,0.20982919250511353,0.10782980902035233,0.32177733858156143,0.1405807091027201,0.0767412394763408,0.16427432114793458,0.3199975828507595,0.18053255700840504,0.12912726111275083,0.23152584627752423,0.20981942797002104,0.15533864616602477,0.19466524600451893,0.2398874965343482,0.1418972950876733,0.17176979220718808,0.1961468431321867,0.1688251703970553,0.2388693400818839,0.09735228719593236,0.15098801666407022,0.118993254240659,0.2756545885802903,0.2552769769673902,0.138708038105457,0.24167776036874367,0.2796339020458783,0.22466739331505223,0.20408289412054934,0.27086145275993295,0.10392163388535577,0.06566697595569927,0.11460109579024871,0.10341589706715526
lh_caudalanteriorcingulate,0.13098574961124101,0.0,0.13668513476565058,0.10288245139782333,0.09917986847694066,0.1914028037816394,0.14077037476428797,0.174774898566372,0.17376927155987507,0.12368751082049309,0.15148664813020168,0.12707593306599957,0.1282766093896125,0.1451323253280933,0.1542586893030988,0.13096038098151558,0.13049345850531438,0.10004570510389915,0.12494709006188763,0.08983115356804831,0.11489838868377503,0.19378074315604873,0.12859137590853145,0.16063832913660112,0.23022647237047664,0.14390811363466963,0.1874251935928055,0.1150568911626896,0.12861886012080545,0.1541571361351627,0.062049284486123464,0.06986086082427044,0.1249081419050962,0.13955727924928052,0.16213815631972028,0.1727998959628104,0.13659433984527625,0.10268877777226029,0.0782859790972432,0.19121271305312118,0.15008813160659878,0.17121835263887503,0.14528203739500187,0.12764435020730977,0.16832942125664094,0.11151142492144304,0.13812282791811434,0.14769230486743526,0.1443477502114316,0.15055253774709895,0.15778767799266294,0.10244207091469917,0.12914631850221112,0.09021332128455402,0.1011083768255399,0.18986601979242435,0.1312594030628591,0.16455484782335938,0.2083269878919396,0.14631594445688423,0.18076534528765908,0.11331877814172596,0.1386800047033005,0.15164513572340094,0.07133250615499187,0.061033641247860225,0.11552052566615993,0.11281275988267662
lh_caudalmiddlefrontal,0.22624062450068308,0.13668513476565058,0.0,0.10913226573099932,0.10279114490150557,0.18510647237789038,0.39163245256934187,0.19141369852558449,0.1424561784402949,0.21249251192294397,0.2188409260496709,0.16098582895388086,0.15902401345776707,0.2582912048592273,0.1633701299444296,0.25795572986262955,0.3340776460604597,0.15292952964296866,0.32425696856197667,0.1008762591386938,0.1885321653889179,0.18141187122729982,0.3323082624325706,0.288987798809766,0.13778283266498045,0.28175248004260584,0.3479768210583908,0.30330665391957323,0.27447915455165217,0.3488700789586313,0.11130562772137724,0.08347773771076242,0.16909602074580474,0.15211200172489786,0.290531038874899,0.11127387016923251,0.33231259568837024,0.1342131279033698,0.0802244939003518,0.17172013360336652,0.32619394638777277,0.16996843768384426,0.13106456601759614,0.19743193832554304,0.22254079817637892,0.1629664413481796,0.18614264979768885,0.2585740498358702,0.15683327290598267,0.2428736321392282,0.32149819721203443,0.15913815504172243,0.2863488692704979,0.0927347382218848,0.17824051339579103,0.12510468781123854,0.3229096372532926,0.30516100605821767,0.14742216970837668,0.2631679289723444,0.3215650883530178,0.26768125140995774,0.24446975202457524,0.3160208768577103,0.10745970230978816,0.06959864637247927,0.14719955846947352,0.12802776871652355
lh_cuneus,0.11717917026043755,0.10288245139782333,0.10913226573099932,0.0,0.0683303147358783,0.11552991502592001,0.12442181390892873,0.10803735682876185,0.14977148161856987,0.2192419941261826,0.1497611190185547,0.24770324333143667,0.17727485449862151,0.09668148321029339,0.10915830136180474,0.11691317149547233,0.1098164026300628,0.1594479846898952,0.11469304690314067,0.1692395862869736,0.18397345957418135,0.11480477211715459,0.11779966342027784,0.13662260114866145,0.10641300401426763,0.15206743553044402,0.12737488584077244,0.15436814676246557,0.08643249276008731,0.13186753236211726,0.08667259751854935,0.06462810867868701,0.10242033628659099,0.08716884837596979,0.10456792928284751,0.12857572839986237,0.12727403616961433,0.26434961019819553,0.06482748243486872,0.10967078983473809,0.14174753136541346,0.09447811606746181,0.16818927760355634,0.20177505094685458,0.12769451280555308,0.22067465689907156,0.16432395937085476,0.10024892867913061,0.09396711109861142,0.11583373926787709,0.09675570051180205,0.11554640045495056,0.12810931032628342,0.18086723207907754,0.1848086999164929,0.1254228308564701,0.12235242863961186,0.14942360240722619,0.10788113372503125,0.17832890530271536,0.1356687977966792,0.17245982355154965,0.09327364985218158,0.1351342737452488,0.10893686181119211,0.05474736952644844,0.10299456237845193,0.07310859218228799
lh_entorhinal,0.10892256601449704,0.09917986847694066,0.10279114490150557,0.0683303147358783,0.0,0.1298861523912655,0.10137032970536958,0.16995702697498008,0.10678414040371324,0.09807315451114998,0.1204240640347647,0.08593836083639356,0.11320785385136337,0.15321792828736336,0.13362498810182333,0.10465545779732961,0.10583111653342749,0.09976752612926824,0.1000616271401573,0.055507970362327554,0.08383506715419067,0.09139439811713539,0.11601478266991577,0.09502649968105929,0.09863056458819446,0.09346403818573541,0.12729900798146265,0.08073711685342302,0.15210023974923462,0.10345374935040484,0.0819397138763965,0.12735836825685046,0.08107807386328741,0.09560922581694974,0.10179199123440334,0.07184136563240442,0.10182306661492116,0.07484407102902003,0.18763350039007023,0.12294273118915242,0.09851009533627562,0.1654214028644429,0.09895441283794894,0.09350948667521153,0.1344711619263767,0.08028998826656539,0.11633926305214252,0.17234876865120727,0.13617004873688252,0.1203275818266964,0.10380298643631977,0.11570824517968072,0.11412348094584122,0.0552425362404681,0.07501252894015539,0.08439755799867504,0.12019802505618729,0.10407868129577562,0.09426234603753034,0.09354150044448561,0.1302127246586435,0.07834760123611002,0.15674826136654452,0.10832958567972968,0.0880226317155971,0.11359771481033858,0.0717594619776947,0.08463235691921747
lh_fusiform,0.20689321082795503,0.1914028037816394,0.18510647237789038,0.11552991502592001,0.1298861523912655,0.0,0.19966923393494498,0.29507699687508204,0.18871070151915945,0.16195274651781624,0.23502444318901475,0.16945203239961948,0.16890041338477313,0.22102175589940296,0.20426281340505995,0.15625780630704814,0.1676163279696699,0.12660422813459127,0.1629348046155659,0.09808986944316944,0.13220676236533765,0.25782176431183995,0.1947574641401028,0.24366922891203652,0.23575992023339432,0.2120437104406953,0.2622501021277509,0.14744486952341274,0.19785725488815775,0.2171158158821189,0.07150065641604107,0.09040860149403937,0.15475817691471858,0.15140009346349387,0.2389835815611199,0.1301178011284259,0.2022948769141655,0.11296703305047374,0.09541299691065495,0.38167201651619415,0.24188668923105439,0.26288843174436466,0.1656949739703749,0.16838853224576197,0.24208189015309453,0.1444788931261755,0.1861551708288363,0.24925266733633125,0.2041866545122272,0.2191133176331567,0.1873248459637788,0.13165108346693263,0.1749649320328727,0.0935312765438822,0.12450851058618383,0.17086605759605,0.20883741920232707,0.2407288289222467,0.22533553973548076,0.20582036172859547,0.25763896547399867,0.14907703359472396,0.17939913891727677,0.21400155519543693,0.08482396457280265,0.07745899428067866,0.12573414069235184,0.12384269507904237
lh_inferiorparietal,0.28088845788015004,0.14077037476428797,0.39163245256934187,0.12442181390892873,0.10137032970536958,0.19966923393494498,0.0,0.2018824767171949,0.14787293810869895,0.271277406842586,0.23499563268848403,0.18518530984612971,0.17272932314577968,0.25791206635573466,0.15512508874171257,0.23827097381416354,0.34472078618764224,0.1779972152128539,0.3550238758661455,0.1100569500732022,0.2124729940843466,0.20255743272705207,0.30481338633472777,0.3761126193833547,0.14704944946001963,0.33402055638283196,0.3692732596675125,0.37307835373770953,0.25455475225367696,0.40732648738990646,0.11196049963604143,0.08513599432148447,0.1748551843740499,0.15319440357453942,0.3046986191002544,0.11413834167760305,0.38938813635234165,0.15111939191108545,0.07938605510985931,0.1857603470190994,0.4459115996434774,0.1789855522907729,0.1334537717376882,0.2520695440926953,0.24442752635950835,0.18442765703093578,0.20726467175636148,0.2758750308141511,0.1560142108532355,0.23250433694769068,0.3052559521135133,0.17516920221871662,0.316724220620583,0.10227244590559814,0.19907963148912325,0.1322271872140439,0.3299129514066105,0.34781006812119447,0.15394757225535405,0.34439670623478796,0.3457678972366426,0.358120086028622,0.2458293189458867,0.3709447785443219,0.11998058392658315,0.06941566461334167,0.1507780955853572,0.12916250084391165
lh_inferiortemporal,0.20872105716228223,0.174774898566372,0.19141369852558449,0.10803735682876185,0.16995702697498008,0.29507699687508204,0.2018824767171949,0.0,0.16425098148389844,0.18580706737691757,0.23953802011059894,0.14407660555491023,0.21201551598607846,0.3570453327416248,0.17482914532234206,0.1659682217924287,0.17892196322180176,0.17372018742580805,0.1907884324494416,0.08645920232212417,0.14046877479072586,0.16995830332903872,0.2030222598003945,0.21509588286117962,0.18611384898556735,0.22608300959293087,0.30609330334574253,0.15272982186161926,0.22459434500351555,0.23424568402197132,0.09650734521142205,0.11914778922073586,0.11653602847427566,0.12775145136790564,0.20662098093870357,0.1129547093027972,0.20799255666122946,0.11628625686133098,0.12400975300892138,0.24587670351237487,0.2147219649016803,0.41252236591284536,0.14429435686196218,0.1864701704494353,0.2574973203907394,0.13266086686629933,0.22346983535483284,0.3493473441891354,0.18420919764333057,0.1907521111186247,0.18731175805413572,0.19753849564914536,0.1985055629547991,0.08697828164288375,0.1275066411658662,0.1355188774274313,0.22703738803476434,0.22547053073584014,0.17799812146176963,0.20684899700771825,0.3109415584337096,0.1480658909464957,0.22781461285383273,0.22895889739469397,0.11353765124072598,0.09532114019878939,0.10044113396454991,0.10249100178447032
lh_isthmuscingulate,0.14325423507088186,0.17376927155987507,0.1424561784402949,0.14977148161856987,0.10678414040371324,0.18871070151915945,0.14787293810869895,0.16425098148389844,0.0,0.1548353033569142,0.18085821541557773,0.1772951263550784,0.16155650839420577,0.14918076900237745,0.16996608203847105,0.1543427621195578,0.13493281727331377,0.1388961616684163,0.12990585811739408,0.12028801516070693,0.1411338612771909,0.2156719625730142,0.14631474485114632,0.1802666725595687,0.19722286728543928,0.17992450608194416,0.1841724611074836,0.13969894434655067,0.12432010462464455,0.159894067790529,0.07509102205812904,0.07818628496529183,0.12063767230123965,0.14241754597090103,0.15854117795838807,0.1841499973186597,0.1492760470736945,0.1379155449840569,0.08589751741930612,0.17450168523828252,0.16139452336573643,0.1478986627048788,0.272603958174021,0.1630089832231728,0.18173574639536919,0.15140403671360955,0.1639509473676486,0.14793307459412602,0.15045472488265527,0.16119667815057762,0.13783480105862195,0.11892955445752315,0.14729399095748236,0.11630135145613094,0.13160970412511971,0.21939754856172738,0.1556679368885494,0.17886365543785696,0.18899230095481237,0.17440880462632935,0.19354035314133108,0.14055771103594752,0.13631051491710217,0.1524332425427902,0.0939975133644764,0.06654750634143955,0.12101495152723747,0.1059181583035886
lh_lateraloccipital,0.22094773171297666,0.12368751082049309,0.21249251192294397,0.2192419941261826,0.09807315451114998,0.16195274651781624,0.271277406842586,0.18580706737691757,0.1548353033569142,0.0,0.21456993420073536,0.2454674844803924,0.21127773444384532,0.18159245518929978,0.13314566748147696,0.21849565553662406,0.2001528300292464,0.259191743565459,0.2350539893460347,0.12921451160183237,0.2654631946174742,0.15166877105831889,0.21102774031784904,0.26819976852796323,0.12130294802690175,0.33503427858989165,0.2622076539050392,0.3294999377544776,0.15291489985408543,0.2839660281734456,0.12808610073382104,0.08799578150453954,0.13313019633645234,0.10043548918224329,0.18396758492398266,0.11666714420037229,0.24989560281642123,0.269736206346229,0.0866113961520515,0.14474349726034147,0.2820259345392966,0.1551996205366316,0.15073498780471217,0.45782337805606227,0.20685054354358784,0.24053231709247758,0.23715452222569255,0.18903570756550084,0.12217480003449685,0.1825652570672199,0.17054228615671843,0.22475098001310745,0.25537050459870125,0.140502128656914,0.2614417801868868,0.12617765977908985,0.2362513540016755,0.29342678468991384,0.13026251365942568,0.3050579743822976,0.3022217220357657,0.3508891836308893,0.16137483481787274,0.2710789441178962,0.15644360946501643,0.06965259546156016,0.12439693060644033,0.08542063059224222
lh_lateralorbitofrontal,0.2203818464144106,0.15148664813020168,0.2188409260496709,0.1497611190185547,0.1204240640347647,0.23502444318901475,0.23499563268848403,0.23953802011059894,0.18085821541557773,0.21456993420073536,0.0,0.18794069481396677,0.2552385498391742,0.22687167722148596,0.1713139095070264,0.18892746825870058,0.2147138838026013,0.19223711588730832,0.22310018811590077,0.11409806434762722,0.19048302932583647,0.182518903695574,0.23422657510771958,0.2313289995820952,0.1729122559628741,0.24090134007583391,0.2880758391893163,0.2186768928167828,0.21591473411102027,0.2670135612746164,0.10037225630466147,0.09756142557654969,0.14939434641055807,0.1510254944727913,0.19303259468486203,0.12855903993963053,0.2447634162557711,0.1568020052094764,0.09484304872878056,0.21310664373753463,0.26205970661569594,0.22052042067903996,0.1762380937503964,0.2163673119851388,0.30894847411424353,0.17601551772072901,0.25726911522768714,0.25670461811017425,0.1569850556341873,0.20961371606925427,0.21910328884322364,0.18100940461688944,0.260626976061571,0.11278001284430562,0.17556618863801987,0.1447193034523752,0.2487817716562351,0.265180081362094,0.16883753387302305,0.2609552293586694,0.2759406492958262,0.2197243979104566,0.21894428900867022,0.27158892500975085,0.1075636248026287,0.07799065650838012,0.13312690304105584,0.12353435361585084
lh_lingual,0.15320009419411934,0.12707593306599957,0.16098582895388086,0.24770324333143667,0.08593836083639356,0.16945203239961948,0.18518530984612971,0.14407660555491023,0.1772951263550784,0.2454674844803924,0.18794069481396677,0.0,0.17480017744809193,0.12452595056203397,0.1659270846126861,0.17640879571437026,0.14385954510568874,0.14403966492956838,0.14266965720142286,0.21104875318744554,0.24073766361744778,0.16627080942762376,0.17175265435103293,0.21475666159926798,0.13414975750286373,0.20955628306978724,0.18000430363061193,0.21425318026984405,0.1228554664116931,0.1806408343441937,0.08408391602051153,0.0674546621435472,0.13495113645331558,0.12321086186635713,0.1621932652106361,0.1417207635203077,0.1825357097459067,0.2633696569836673,0.07104605243564528,0.16599725840903057,0.20746667507098665,0.11940783585691404,0.17796877821981977,0.2445808870469028,0.16545218481463528,0.3426406945658516,0.18504624940834263,0.13193632866115124,0.1470535829075945,0.16818536612228507,0.1316897958042838,0.11549942445878801,0.16193180973940224,0.2056076897989657,0.2531923024750148,0.16768828814312847,0.1879576070786435,0.21309637225249925,0.1361787571841601,0.2440088018699033,0.18612806922161906,0.24042557939557607,0.12714179570509015,0.18554974525429033,0.10026071009737644,0.05764160180801797,0.13261805994382234,0.10243607264399217
