-53.075334	-43.999682	6.655118
-4.71342	21.582684	25.903463
-34.568022	11.305723	46.862575
-5.726928	-78.533402	19.513085
-23.338076	-4.760956	-31.430848
-34.190065	-42.942204	-22.141523
-41.722101	-67.882771	34.603887
-51.277	-33.808976	-23.170605
-6.439842	-44.981262	18.685733
-32.540997	-86.364114	2.203073
-24.000912	31.543724	-17.503705
-12.379336	-66.529938	-4.691128
-6.525199	33.754705	-15.854226
-57.596951	-21.23169	-14.350963
-23.037764	-30.250123	-18.589995
-6.34877	-27.759045	56.655089
-47.214761	18.386686	14.769465
-42.355596	38.405415	-13.38556
-46.00851	33.682843	1.268859
-10.731574	-81.170155	4.579163
-44.62431	-22.235061	42.45724
-4.932902	-16.606575	37.293452
-41.769587	-5.229033	40.554704
-7.924857	-58.522186	37.229825
-4.640406	36.373599	-0.240196
-31.556597	46.860788	17.547123
-9.898912	29.419559	41.625472
-21.552137	-64.27402	49.6201
-51.999864	-9.649506	-5.061575
-54.544002	-36.414708	33.982595
-6.951819	66.422812	-8.123894
-27.016387	11.879954	-36.179497
-44.68	-21.057241	7.558621
-35.920608	-0.348207	-0.633556
54.37024	-38.754231	9.386107
5.50607	23.61221	26.17343
36.399018	12.92854	47.541216
9.060405	-76.125698	21.498603
23.122642	-1.973467	-33.10967
36.241264	-36.996979	-23.830013
47.603437	-60.486805	32.19901
52.357208	-28.629	-24.922432
7.405414	-42.901618	19.74414
36.301903	-82.304078	1.048544
23.589789	30.663629	-17.462437
14.397244	-64.903983	-4.633046
5.101551	37.170455	-15.502345
58.303661	-19.070017	-14.817581
24.333161	-27.51164	-19.904294
7.36493	-24.792032	56.582531
48.348448	17.003903	14.506226
43.424985	40.894672	-11.890692
48.314205	32.961672	3.666955
11.777039	-78.071809	6.898936
47.49519	-17.970442	39.875623
5.784426	-13.593677	37.586883
42.616506	-4.099023	40.24816
10.022495	-56.587894	36.967223
5.491102	37.294964	4.026126
33.450671	47.802289	16.263317
12.074983	31.257724	42.131587
25.221495	-60.34342	52.574048
53.475238	-5.556564	-5.895805
55.540124	-29.835839	34.48365
6.797191	65.145742	-11.545215
28.980253	14.847988	-33.997765
45.783153	-17.926606	7.773144
36.750517	1.974322	-1.819521
