-0.25531472,-0.186741866,0.165490588
-0.4512361,-0.107884615,0.2158602
-0.379555528,-0.095889201,0.220556867
-0.612021496,-0.002781578,0.130826691
-0.252085239,-0.037840212,0.216737433
-0.57785898,0.048725587,0.147049253
0.012192242,0.074171629,0.057998316
-0.696233985,-0.212552978,0.226347633
-0.564593078,-0.150999855,0.137260614
-0.547469436,-0.206379006,-0.147708497
-0.562167434,-0.395568744,0.132513007
-0.802765876,0.037567827,-0.164700504
-0.498121049,-0.131067858,-0.132091334
-0.223754305,-0.252675354,-0.365090559
-0.359224383,-0.339138665,0.04224139
-0.501064122,-0.245708906,-0.16123207
-0.796425568,-0.288928185,0.176183012
-0.736880329,-0.223224669,0.126186257
-0.625595556,-0.0204405,0.161879302
-0.563323818,-0.241104701,-0.20685593
-0.223497397,0.047257934,0.284592129
0.054245619,0.006408789,0.227287226
-1.092121639,0.000376838,0.3955006
-0.367881352,0.089697391,0.309262458
-0.494596771,0.158097485,0.084413117
-0.26404908,0.459685246,0.047315261
-0.037164647,0.32223775,-0.13812261
-0.146179514,-0.133848288,-0.01211897
-0.591529658,0.112851221,0.153861614
-0.580112744,0.030405154,0.120690645
-0.262801379,0.018475671,-0.080347351
-0.102068327,-0.068356411,0.054340693
-0.574165364,-0.092884068,-0.284637089
-0.713426661,-0.152797776,-0.165247622
-0.464954858,0.000549034,-0.033081935
-0.364308481,-0.043997982,0.268538603
-0.35309458,-0.027761392,0.084569942
-0.259601634,-0.126638271,0.285006508
-0.427858974,-0.097296792,0.020495332
-0.68145813,0.048846712,0.196363265
-0.222666141,0.126243294,-0.089590429
-0.536381738,-0.289297782,0.384090731
-0.501465311,-0.016383542,-0.017988139
-0.491279395,-0.184989232,-0.054877822
-0.553298548,-0.553176053,0.005442194
-0.674609273,-0.126449766,-0.192108433
-0.462474863,-0.187495919,-0.125034467
-0.17757148,-0.200928068,-0.291719647
-0.363636326,-0.450978105,-0.113623325
-0.315892158,-0.246091487,0.041277911
-0.796780834,-0.011947599,0.216975304
-0.912395462,-0.320262828,0.099948429
-0.706621377,-0.208062917,0.150359289
-0.753324439,-0.152446708,0.065222697
-0.14453944,0.27535786,0.254286716
0.017942068,0.160021861,0.053439015
-0.831121441,-0.102288923,0.246785046
-0.303797944,0.187166705,0.662074497
-0.418533435,0.133290499,0.28331963
-0.309972356,0.353973305,0.116533054
0.006872746,0.148827425,0.195380759
-0.14347387,-0.022460305,0.109337117
-0.658973793,-0.037428583,-0.065126115
-0.443893506,0.04459569,0.071791215
-0.257702004,-0.003089739,-0.168156679
-0.184772897,-0.018014726,0.251037781
-0.478613483,-0.231288059,0.097576073
-1.021816966,-0.358334787,-0.205680589
