,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MU,NAT,NMDA,VAChT
0,49.35834488102996,-2.7917138335983145,20.97953987121582,1.0056486129760742,0.2399391531944275,2.9745497703552246,9.270357131958008,1.2807539701461792,14.82700070424471,0.5950932140600611,32.283391520987806,463.6740417480469,15.15303897857666,2.78053879737854,-0.9855246483848658,15.505914763640718,-0.05492280423641205,5.976345142585811,-0.22207161318141122
1,24.45590405923086,-0.6725382210584355,26.802993774414062,0.9934954643249512,0.34858113527297974,2.3940093517303467,9.77888298034668,1.2757246494293213,13.186351658766444,-0.6247057587231023,28.68049541124552,688.3909301757812,15.500570297241211,2.933840751647949,-1.3808212820361254,6.578233350797386,0.003976357169449329,6.9213570497385595,-0.7742542207066327
2,25.47428463447356,-0.7317446946156628,25.49554443359375,0.9336608648300171,0.2754589319229126,2.7195730209350586,9.216269493103027,1.1916289329528809,17.11860370117665,-0.7254221618364383,29.26712525708581,668.59375,14.359957695007324,2.6899962425231934,-0.9763301756166395,7.8591556079468825,-0.037303149700164795,7.081444837538673,-0.6680257898311632
3,12.776684375823764,-0.6569400724790857,24.07273292541504,0.7773000597953796,0.28350865840911865,1.978472113609314,8.577530860900879,1.2246215343475342,4.624447028160075,-0.9429988866090175,21.816989724179532,585.6454467773438,14.44918441772461,3.5807247161865234,-2.138223166792192,1.5784085856086791,-0.007691304665058851,5.2177890752347205,-1.5644728455300638
4,15.111810810711674,1.8265400617185363,30.06436538696289,0.7527410984039307,0.3422783315181732,2.9454617500305176,7.651576042175293,1.123110294342041,11.65184228005149,-1.6517142670431975,26.64735860618756,782.5947265625,14.837170600891113,3.58992338180542,-1.5340306853067391,-0.009000000427477062,-0.0406176783144474,6.651558627404085,-1.6594415886393008
5,19.614929940830073,2.1013551598031217,27.561796188354492,0.8557238578796387,0.4294957220554352,3.379638433456421,8.95866584777832,1.0954773426055908,17.257566037081666,-1.0256963825126544,29.56695825200416,723.1619262695312,15.184344291687012,3.953671932220459,-0.37686374898030367,3.3401941385838114,0.007052797358483076,7.096838458056703,-0.42992342646428483
6,29.14710395656474,-0.07821903341403344,29.57899284362793,1.2208192348480225,0.4596002697944641,2.3492815494537354,9.575695037841797,1.285900354385376,9.983831301274188,0.20422825112558673,24.39996722945593,592.927978515625,14.917438507080078,3.8906586170196533,0.4291789496099106,16.165042121181724,0.012787897139787674,6.149626910419735,-0.21884901628632214
7,17.619324821337987,-0.13774980940737147,23.44586944580078,0.9190244078636169,0.35066571831703186,1.9511879682540894,9.313529014587402,1.2597739696502686,7.240720124135516,-0.530887231504495,22.320080362396798,557.53857421875,14.378915786743164,3.894188642501831,-0.9233276495029988,6.465035105607474,0.03204689919948578,5.812612869474191,-0.8462455716575408
8,21.300197613478968,0.18475280767351696,23.325592041015625,0.8321683406829834,0.43677154183387756,2.58286452293396,8.925637245178223,1.170920729637146,11.503586753287577,-0.8246374237170049,25.339264788971427,630.4164428710938,14.995043754577637,3.95855450630188,-0.11013895715247535,4.008771350281021,0.039157237857580185,6.559053341972665,-0.9679284879344491
9,31.917816438143873,-0.07271659853151605,28.827869415283203,1.1749719381332397,0.4740789830684662,3.0230319499969482,9.810325622558594,1.319287657737732,12.201601016226146,0.5099626475979148,27.979655582311374,557.8385620117188,18.59783935546875,3.82468843460083,0.8558874487339913,17.150579417228858,0.07810676842927933,6.628250427625572,1.4173078750408463
