-0.055193734,-0.076781373,0.549199441,-0.125825114,-0.493537042,0.240342497,0.112262641,0.31976515,0.585111639,0.191114293,0.802774498,-0.475709497,0.409238342,-0.225067483,-0.333349794,0.952866621,-0.629588295,0.415415274,0.090959968
-0.742660391,0.144592034,1.038357932,0.324461619,-0.794468107,-0.776788358,0.874050566,0.793343209,-0.075421297,-0.331819809,-0.842075355,-0.240959976,0.305757922,1.318409474,-0.340227691,0.573627302,-0.112633625,-0.089119665,-0.881527901
0.3060761,-0.688562171,0.875746536,0.193124955,-2.443975445,-0.851903531,0.090702444,-0.42839827,0.248198903,-1.019727587,-2.114220894,-1.54922143,-0.766846544,-0.084665272,-0.76395076,0.275017924,-2.172690863,-2.972567625,-1.628398563
0.795315855,0.261492831,0.328596441,0.567859613,-0.072113763,-0.127706573,0.119593854,1.397087792,2.044030948,0.542590232,0.815840026,0.29535368,1.29842265,0.975877587,1.101100576,1.32334002,-0.356812717,0.532419552,0.619724637
-0.39963459,1.04991235,0.587159346,0.026801424,0.872625879,-0.579038853,1.656854887,0.585014142,-0.316119706,-0.176210401,0.04466529,0.032102004,0.566109478,1.167131342,0.748257669,0.472060085,0.874969512,0.438682307,-0.214462223
0.279370701,1.405677921,0.797236927,0.064476857,1.215253308,-0.580375921,1.744289519,0.576138039,0.600249422,-0.037956688,0.601078151,0.571411084,0.877723202,0.683927662,1.668384396,0.688478884,1.025191451,0.912232824,0.195000358
0.115784015,1.31361216,0.775243977,0.197280157,-0.144917106,-0.901562014,1.290558615,1.021739617,-0.117589599,-0.434427206,-0.8059801,0.003428131,0.373075563,1.079565974,0.535689912,0.894752079,0.091260454,-0.262684459,-0.273760275
-0.215412123,0.529220335,0.329328275,-0.431709137,0.389135836,-1.104560301,1.094744795,0.249318051,-0.492787774,-0.445873764,-1.229712281,-0.25707143,0.919832981,0.017517067,0.216273359,0.823975242,0.06208546,-0.015444893,-0.371247463
-0.582903675,0.89011858,0.415944927,-0.682042718,0.123046738,-1.384548827,1.422957068,-0.513125582,-0.64728759,-0.897279107,-0.750193804,-0.287472772,0.021175017,-0.587309318,-0.096796266,0.440708245,0.209318942,0.0982884,-0.478447515
-0.870936899,0.448028572,-0.625532694,-1.283691446,-0.228491194,-0.947614338,1.121022647,-0.535379361,-1.077583507,-0.78312562,-0.737955629,-0.579752417,0.130285098,-0.761398422,-0.61720952,-0.457070692,1.474100576,0.286661149,0.376204379
-0.8651952,-0.3825837,-1.6636341,-1.7415808,-0.3582629,0.05124367,0.52946801,-0.5409687,-1.0614698,-0.9740299,-0.729462,-0.3963945,0.50182733,-0.5726035,-0.5982848,-0.3329332,2.04799494,0.31722869,0.98711174
0.523202205,0.407530326,-0.834973394,-0.0346603,0.810617667,0.961161861,-0.031281652,1.804747516,1.989456931,0.513154493,1.113102275,1.61138034,3.689211097,-0.189409955,1.979046493,2.147489638,0.159635068,0.844461666,1.291886773
